Main Category,Submenu Item,Menu Level,Description,Command,Context
"Live XRP Price 📈",,main,"Get live XRP price updates!","/pricexrp",private
"MewFi Hub 🚀",,main,"🐾 Hi! I'm MewFi! All my commands work in groups - just add @MewFiBot before them (like /help@MewFiBot)!\n\n📌 How to use me in a group?\n✅ Use commands directly in chat (e.g., /wallets@MewFiBot)\n✅ Click the MewFi Hub buttons to explore features\n\n🔹 Want a full Mewfied experience?\nTry chatting with me in private messages for quick-access menus and a smoother experience! 😺🚀","/start",private
"DEXs 💱",,main,"💱 Decentralized Exchanges (DEXs) – Trade Without Middlemen! Meow! 🐾 Want full control over your trades? \nDEXs let you swap tokens directly from your wallet with no sign-ups or third parties! \nStay secure, trade with low fees, and explore the XRPL DeFi ecosystem! 🚀😺","/dexs",private
"DEXs 💱","Sologenic DEX 💱",submenu,"🐾 Trade like a pro on Sologenic, the ultimate decentralized marketplace! Fast, secure, and built on XRPL, it’s the purrfect place to swap tokens! 🚀😼 🔗 https://sologenic.org/","/dexs_sologenic",private
"DEXs 💱","Magnetic Exchange 🧲",submenu,"🎩✨ Magnetic Exchange is the magic shop of XRPL! Trade, stake, farm, and mint NFTs all in one place! 🧙‍♂️😻 🔗 https://xmagnetic.org/?network=mainnet","/dexs_magnetic",private
"DEXs 💱","XGC-Swap 🚀",submenu,"🐾 Mew loves fast and efficient swaps! XGC-Swap is the ultimate decentralized exchange tool built on XRPL, making token swapping seamless, secure, and paws-itively meow-some! 🚀🐱\n\n✅ Instant Transactions – Lightning-fast swaps on XRPL with low fees! ⚡💨\n✅ User-Friendly Interface – Even the newest kittens can trade with ease! 😺\n✅ Trustless Environment – No middle-kitties, just pure decentralization! 🔐\n✅ Wide Compatibility – Swap between all your favorite XRPL tokens! 🎉\n\n🔹 XGC-Swap is powered by XGC Labs, the innovation hub of the XRP God Candle (XGC) project! They are dedicated to advancing the XRPL with cutting-edge DeFi tools, gaming projects, and smart blockchain solutions. 🛠️🐾\n\n🔗 Swap Now: https://swap.xgclabs.io/","/dexs_xgcswap",private
"DEXs 💱","First Ledger DEX 🏦",submenu,"🏦 Meow! First Ledger DEX is your gateway to seamless XRPL trading! Trade, swap, and manage your tokens with full decentralization & security! 🐾💰\n\n✅ Fast & secure trades on the XRPL ⚡\n✅ Supports AMM & traditional DEX trading 🔄\n✅ Low fees & instant transactions 🚀\n✅ Integrated with First Ledger Wallet for easy access! 🔐\n\n🔗 Trade Now: https://firstledger.net/?ref=zxhRxHNuFMtC","/dexs_firstledger",private
"DEXs 💱","Dex Screener 📡",submenu,"📊 Dex Screener – The Ultimate XRPL Charting Tool! 🐾✨\nMeow says: I use Dex Screener for all my charting needs—it’s a Mew Approved tool! 😺✅ Perfect for tracking price movements, finding hidden gems, and analyzing XRPL markets like a pro!\n\n✅ Live market data – Track tokens as they trade! 📊\n✅ Volume & liquidity insights – Spot strong projects early! 💦\n✅ Token tracking – Watch your fav XRPL gems! 🏆\n✅ Price analysis tools – Make informed trades with purrcision! 💹\n\n🔗 Chart Like a Pro: https://dexscreener.com/xrpl/4d656f7752500000000000000000000000000000.rmpeuuvwf6mvcu77npuf37gukdbwr9nhhk_xrp\n\n🚀 Mew Approved & Trader Certified! 🔥🐾","/dexs_dexscreener",private
"DEXs 💱","DEXTools.io 🔍",submenu,"🔍 DEXTools.io is your go-to analytics hub for tracking DEX trading across multiple blockchains, now featuring XRPL support! 📊✨\n✅ Real-time price data – Stay ahead of the market! 🚀\n✅ Advanced charts – Analyze token trends with ease! 📈\n✅ Price alerts – Never miss a pump or dip! 🔔\n✅ Liquidity tracking – See where the big moves happen! 💰\n\n🔗 Explore Now: DEXTools XRPL Pair Explorer! 🚀🐾💰 https://www.dextools.io/app/en/xrpl/pair-explorer/4D656F7752500000000000000000000000000000.rMPEuuvWf6MvCu77NpUF37GUkdbwr9Nhhk_XRP?t=1739243946022","/dexs_dextools",privateDEXs 💱,Coinmun 🌎,submenu,"🌎 Coinmun – The Newest Multi-Chain DEX Listing Platform! 🚀🐾

Meow says: Coinmun is pouncing into the XRPL scene! Now supporting XRPL tokens, this platform is purrfect for discovering new projects, tracking market movements, and swapping tokens seamlessly! 😺💎

✅ Multi-chain support – Explore projects across multiple blockchains! 🔗
✅ Real-time analytics – Stay ahead with live token data & trends! 📊
✅ Secure & decentralized – Trade directly from your wallet with full control! 🏦

🔗 Discover More: https://coinmun.com",/dexs_coinmun,private
Help ❓,,main,"📌 MewFi Help Menu
🐾 Welcome to MewFi Bot! 😺
Use these commands to explore XRPL & MeowRP resources!",/help,private
